DISTRICT_N,single_fam
CORONA-NORCO UNIFIED,60926
RIVERSIDE UNIFIED,56737
DESERT SANDS UNIFIED,56548
PALM SPRINGS UNIFIED,45422
TEMECULA VALLEY UNIFIED,43584
MORENO VALLEY UNIFIED,39219
HEMET UNIFIED,36694
MENIFEE UNION & PERRIS UNION HIGH,36422
LAKE ELSINORE UNIFIED,32874
MURRIETA VALLEY UNIFIED,27278
BEAUMONT UNIFIED,22069
JURUPA UNIFIED,20767
ALVORD UNIFIED,20070
VAL VERDE UNIFIED,17956
COACHELLA VALLEY UNIFIED,16982
SAN JACINTO UNIFIED,11742
ROMOLAND & PERRIS UNION HIGH,10594
BANNING UNIFIED,9155
PERRIS ELEMENTARY & PERRIS UNION HIGH,7453
PALO VERDE VALLEY UNIFIED,3172
YUCAIPA-CALIMESA JOINT UNIFIED,2027
NUVIEW UNION & PERRIS UNION HIGH,1982
COLTON JOINT UNIFIED,238
DESERT CENTER UNIFIED,72
